Model,MAE,RMSE,R2 Score,Cross-validated MAE,MAE_Zone_1,MAE_Zone_2,MAE_Zone_3,RMSE_Zone_1,RMSE_Zone_2,RMSE_Zone_3,R2 Score_Zone_1,R2 Score_Zone_2,R2 Score_Zone_3,Cross-validated R2
RandomForestRegressor,1068.664135363537,1775.3895354555796,0.9194194954757228,1160.9407666772836,,,,,,,,,,
AdaBoost_Model_1,1105.4661638464183,1922.8818516236524,0.9277873901437182,1214.4890738274814,,,,,,,,,,
AdaBoost_Model_2,700.8165470844125,1232.6526229824879,0.9436680461340283,787.5593853028055,,,,,,,,,,
AdaBoost_Model_3,700.3799967318384,1255.9049301211403,0.9648511312169551,769.5699732250071,,,,,,,,,,
AdaBoostRegressor,,,,838.0963128620746,1122.0634396795474,693.9851023325034,698.2403965741727,1952.0029246608165,1228.8636683718553,1262.609029340991,0.9255835808683526,0.9440138226736401,0.964474875924572,0.9446907598221882
GradientBoostingRegressor,,,0.9026930466960931,1181.3384691031006,1389.5597675695801,918.5969109657234,901.5024416848338,2520.995403049653,1673.30949157299,1694.575503509993,,,,
XGBRegressor,,,0.924749755174847,1085.601087873459,1281.9686575831624,860.8822096654783,825.0828896439366,2223.6647327276805,1490.3620459660942,1449.6663189732092,,,,
KNNeighborsRegressor,1202.9575022402605,1876.7414229397734,0.9113606511292204,1377.0083174047631,,,,,,,,,,
Linear_Regression,3540.9856711677785,4422.782751901611,0.5095904667571047,3541.723772370556,,,,,,,,,,
DecisionTreeRegressor,2049.366812364697,2964.658400906108,0.7755605695105464,2069.52373555267,,,,,,,,,,
BaggingRegressor,2143.814550009894,2977.950667973093,0.7736112926975592,2146.3520554748457,,,,,,,,,,
